"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4636","createBoard","API Testing","Tue Oct 15 17:24:16 EEST 2024","passed","Tue Oct 15 17:24:21 EEST 2024","PostTests","Post Methods","PostTests","createBoard"
"","586","createCard","API Testing","Tue Oct 15 17:24:22 EEST 2024","passed","Tue Oct 15 17:24:23 EEST 2024","PostTests","Post Methods","PostTests","createCard"
"","445","getList","API Testing","Tue Oct 15 17:24:24 EEST 2024","passed","Tue Oct 15 17:24:24 EEST 2024","GetTests","Get Methods","GetTests","getList"
"","525","deleteLabel","API Testing","Tue Oct 15 17:24:29 EEST 2024","passed","Tue Oct 15 17:24:30 EEST 2024","DeleteTests","delete Methods","DeleteTests","deleteLabel"
"","416","getCard","API Testing","Tue Oct 15 17:24:31 EEST 2024","passed","Tue Oct 15 17:24:32 EEST 2024","GetAfterDeleteTests","Get After Delete Methods","GetAfterDeleteTests","getCard"
"","472","updateBoard","API Testing","Tue Oct 15 17:24:26 EEST 2024","passed","Tue Oct 15 17:24:27 EEST 2024","GetAfterPutTests","Get After Put Methods","GetAfterPutTests","updateBoard"
"","451","updateCard","API Testing","Tue Oct 15 17:24:28 EEST 2024","passed","Tue Oct 15 17:24:28 EEST 2024","GetAfterPutTests","Get After Put Methods","GetAfterPutTests","updateCard"
"","438","getLabel","API Testing","Tue Oct 15 17:24:23 EEST 2024","passed","Tue Oct 15 17:24:24 EEST 2024","GetTests","Get Methods","GetTests","getLabel"
"","403","updateList","API Testing","Tue Oct 15 17:24:27 EEST 2024","passed","Tue Oct 15 17:24:28 EEST 2024","GetAfterPutTests","Get After Put Methods","GetAfterPutTests","updateList"
"","434","getBoard","API Testing","Tue Oct 15 17:24:23 EEST 2024","passed","Tue Oct 15 17:24:23 EEST 2024","GetTests","Get Methods","GetTests","getBoard"
"","425","updateLabel","API Testing","Tue Oct 15 17:24:25 EEST 2024","passed","Tue Oct 15 17:24:25 EEST 2024","PutTests","Put Methods","PutTests","updateLabel"
"","648","createList","API Testing","Tue Oct 15 17:24:22 EEST 2024","passed","Tue Oct 15 17:24:22 EEST 2024","PostTests","Post Methods","PostTests","createList"
"","412","updateBoard","API Testing","Tue Oct 15 17:24:25 EEST 2024","passed","Tue Oct 15 17:24:25 EEST 2024","PutTests","Put Methods","PutTests","updateBoard"
"","539","createLabel","API Testing","Tue Oct 15 17:24:21 EEST 2024","passed","Tue Oct 15 17:24:21 EEST 2024","PostTests","Post Methods","PostTests","createLabel"
"","424","getCard","API Testing","Tue Oct 15 17:24:24 EEST 2024","passed","Tue Oct 15 17:24:25 EEST 2024","GetTests","Get Methods","GetTests","getCard"
"","1872","deleteBoard","API Testing","Tue Oct 15 17:24:30 EEST 2024","passed","Tue Oct 15 17:24:31 EEST 2024","DeleteTests","delete Methods","DeleteTests","deleteBoard"
"","340","getLabel","API Testing","Tue Oct 15 17:24:32 EEST 2024","passed","Tue Oct 15 17:24:32 EEST 2024","GetAfterDeleteTests","Get After Delete Methods","GetAfterDeleteTests","getLabel"
"","453","updateCard","API Testing","Tue Oct 15 17:24:26 EEST 2024","passed","Tue Oct 15 17:24:26 EEST 2024","PutTests","Put Methods","PutTests","updateCard"
"","324","getBoard","API Testing","Tue Oct 15 17:24:33 EEST 2024","passed","Tue Oct 15 17:24:33 EEST 2024","GetAfterDeleteTests","Get After Delete Methods","GetAfterDeleteTests","getBoard"
"","382","updateList","API Testing","Tue Oct 15 17:24:25 EEST 2024","passed","Tue Oct 15 17:24:26 EEST 2024","PutTests","Put Methods","PutTests","updateList"
"","859","deleteCard","API Testing","Tue Oct 15 17:24:28 EEST 2024","passed","Tue Oct 15 17:24:29 EEST 2024","DeleteTests","delete Methods","DeleteTests","deleteCard"
"","500","updateLabel","API Testing","Tue Oct 15 17:24:27 EEST 2024","passed","Tue Oct 15 17:24:27 EEST 2024","GetAfterPutTests","Get After Put Methods","GetAfterPutTests","updateLabel"
"","355","getList","API Testing","Tue Oct 15 17:24:32 EEST 2024","passed","Tue Oct 15 17:24:33 EEST 2024","GetAfterDeleteTests","Get After Delete Methods","GetAfterDeleteTests","getList"
